Budget,N,d_model,layers,heads,LR,Tokens,dataset,D_N_ratio
3e+14,41472,24,6,4,0.0218,1210000000.0,256,29071.0
3e+14,41472,24,6,4,0.0311,1210000000.0,256,29071.0
3e+14,41472,24,6,4,0.0435,1210000000.0,256,29071.0
3e+14,73728,32,6,4,0.0154,678000000.0,256,9198.25
3e+14,73728,32,6,4,0.022,678000000.0,256,9198.25
3e+14,73728,32,6,4,0.0308,678000000.0,256,9198.25
3e+14,115200,40,6,4,0.0118,434000000.0,256,3767.6
3e+14,115200,40,6,4,0.0169,434000000.0,256,3767.6
3e+14,115200,40,6,4,0.0236,434000000.0,256,3767.6
3e+14,165888,48,6,4,0.00948,301000000.0,256,1816.94
3e+14,165888,48,6,4,0.0135,301000000.0,256,1816.94
3e+14,165888,48,6,4,0.019,301000000.0,256,1816.94
3e+14,225792,56,6,4,0.00788,221000000.0,256,980.74
3e+14,225792,56,6,4,0.0113,221000000.0,256,980.74
3e+14,225792,56,6,4,0.0158,221000000.0,256,980.74
3e+14,294912,64,6,4,0.00672,170000000.0,256,574.89
3e+14,294912,64,6,4,0.0096,170000000.0,256,574.89
3e+14,294912,64,6,4,0.0134,170000000.0,256,574.89
3e+14,373248,72,6,4,0.00583,134000000.0,256,358.9
3e+14,373248,72,6,4,0.00833,134000000.0,256,358.9
3e+14,373248,72,6,4,0.0117,134000000.0,256,358.9
3e+14,460800,80,6,4,0.00514,109000000.0,256,235.48
3e+14,460800,80,6,4,0.00734,109000000.0,256,235.48
3e+14,460800,80,6,4,0.0103,109000000.0,256,235.48
3e+14,663552,96,6,4,0.00413,75400000.0,256,113.56
3e+14,663552,96,6,4,0.0059,75400000.0,256,113.56
3e+14,663552,96,6,4,0.00826,75400000.0,256,113.56
3e+14,778752,104,6,4,0.00375,64200000.0,256,82.45
3e+14,778752,104,6,4,0.00536,64200000.0,256,82.45
3e+14,778752,104,6,4,0.00751,64200000.0,256,82.45
